model,site,nb_deg,nb_pm,component,ttf,ctf
M3,I,0,0,C01,7066260.0,31323
M3,E,0,0,C01,4419562.0,9150
M3,S,0,0,C01,21075300.0,34106
M3,E,1,1,C02,22197480.0,20032
M2,S,0,1,C01,50043540.0,135395
M4,E,0,1,C01,21773220.0,46016
M3,H,0,0,C01,22538794.0,21866
M3,E,0,0,C01,31884120.0,54247
M4,E,0,0,C01,29188409.0,125461
M3,I,0,1,C01,30157140.0,123280
M7,S,0,1,C01,3912540.0,13410
M3,S,0,1,C02,75449820.0,202620
M3,H,0,0,C01,5691540.0,7386
M7,E,0,0,C01,4315980.0,16688
M4,E,1,0,C01,8302920.0,5673
M2,E,0,0,C01,26024750.0,124483
M4,E,0,0,C01,24695220.0,48983
M1,E,0,1,C01,35311187.0,94405
M7,E,0,0,C01,2598845.0,7966
M3,S,0,1,C01,23566980.0,47286
M4,E,0,0,C01,6047280.0,16135
M4,S,0,0,C01,1881780.0,5405
M3,S,2,1,C01,41228737.0,188270
M1,S,0,1,C01,28602540.0,69103
M4,E,0,1,C01,15205266.0,40023
M2,S,0,2,C02,47689920.0,170514
M3,H,0,1,C01,3906420.0,5846
M4,I,0,0,C01,36101468.0,18893
M7,E,0,2,C01,47285220.0,104755
M1,S,0,0,C02,7271640.0,9439
M7,H,0,0,C01,4143960.0,6165
M4,S,0,2,C02,45432300.0,105914
M3,E,0,1,C01,23780203.0,51161
M7,S,0,1,C01,93312488.0,155131
M2,E,0,2,C02,57428160.0,221296
M4,S,9,0,C01,26581620.0,122842
M7,E,4,1,C01,35165580.0,68126
M7,S,0,0,C01,17122500.0,38074
M2,H,4,1,C01,15893339.0,40581
M3,I,0,1,C01,21771600.0,7675
M4,S,0,0,C01,6894600.0,11978
M3,E,0,2,C02,49848900.0,144858
M2,S,0,0,C01,7173240.0,19093
M1,E,0,1,C01,60391028.0,55579
M4,E,0,0,C02,18856860.0,57986
M7,S,0,0,C02,13645080.0,28864
M4,E,0,1,C02,41743740.0,214389
M3,S,0,0,C01,3561271.0,7975
M4,S,0,0,C02,3610500.0,9871
M4,S,0,0,C01,4996593.0,7345
M1,S,0,0,C01,7188060.0,24107
M7,S,1,1,C02,24100380.0,67053
M3,E,0,2,C01,61174080.0,128474
M3,S,2,2,C02,64895070.0,120511
M7,S,0,1,C01,33978361.0,50840
M1,S,0,0,C01,8402259.0,17561
M3,H,0,0,C01,5866740.0,17147
M4,E,0,0,C01,6714760.0,19560
M4,E,0,1,C01,24939600.0,110403
M4,S,0,1,C02,36357540.0,86583
M3,E,1,0,C01,10881480.0,20763
M4,E,0,0,C01,6817629.0,18056
M1,S,0,0,C02,38248440.0,34242
M4,E,0,0,C01,14426040.0,41281
M4,S,0,1,C01,9595186.0,14179
M1,S,0,0,C01,52700683.0,214908
M2,S,0,0,C01,5942784.0,5894
M3,S,0,1,C01,18319978.0,44109
M4,I,0,1,C01,21597960.0,9919
M4,E,0,2,C01,34716420.0,98306
M4,S,0,0,C01,34533540.0,74795
M4,I,0,2,C01,46127340.0,61036
M1,E,0,1,C01,19851894.0,40232
M4,S,0,0,C01,12199200.0,29629
M5,S,0,0,C02,47414760.0,38811
M3,E,0,1,C01,55836696.0,70266
M3,S,0,0,C01,1270424.0,6033
M4,S,0,0,C01,4407600.0,10230
M4,E,2,1,C01,16478401.0,40130
M7,E,0,1,C02,23672004.0,52089
M3,H,0,0,C01,20040167.0,33534
M3,E,0,1,C01,48008720.0,58450
M3,I,0,2,C01,11758471.0,9234
M2,E,0,0,C01,2261640.0,5627
M7,S,0,0,C01,4720525.0,6205
M3,S,0,1,C01,65302020.0,118134
M4,S,10,0,C01,36200580.0,137788
M2,S,0,0,C02,4854180.0,12193
M4,H,0,1,C01,33003759.0,6407
M4,E,0,1,C01,35175965.0,118493
M2,E,0,0,C01,11833015.0,15428
M4,S,0,0,C01,7591447.0,12610
M4,S,0,1,C01,55474980.0,95630
M4,S,0,0,C01,16235820.0,44286
M4,E,5,1,C01,6157730.0,17976
M7,S,0,0,C01,8462715.0,16804
M2,S,0,1,C01,10032989.0,22241
M4,S,1,0,C01,11257020.0,28122
M7,E,0,1,C01,2422260.0,6511
M4,S,0,0,C01,4767960.0,15199
M7,I,0,0,C01,8758249.0,11617
M4,S,0,0,C01,17635844.0,46798
M4,E,0,0,C01,9782880.0,42953
M4,S,1,0,C01,15027391.0,20729
M7,I,0,0,C02,5955840.0,8318
M2,S,0,1,C01,8556480.0,18729
M4,E,0,0,C01,4074240.0,10075
M7,S,0,0,C01,4222320.0,21995
M2,S,0,3,C01,39226820.0,90658
M4,E,0,0,C02,6153780.0,14954
M4,E,0,0,C01,14596020.0,48485
M1,S,0,0,C01,23501770.0,46103
M7,I,0,0,C01,6812813.0,11317
M3,S,0,0,C01,35318263.0,86908
M4,E,0,1,C01,66446580.0,135219
M4,E,0,0,C01,3631959.0,8719
M3,S,1,0,C01,22305060.0,36014
M3,S,0,0,C01,11499900.0,25418
M3,S,0,1,C01,19013400.0,128746
M4,E,12,1,C01,19966560.0,48110
M4,S,0,1,C01,18061500.0,65431
M3,E,0,0,C01,7767180.0,23043
M7,E,0,0,C01,1141616.0,5447
M3,I,0,1,C01,3965280.0,7657
M4,S,0,1,C01,31614971.0,129110
M3,H,0,0,C01,2989200.0,5892
M4,S,0,0,C02,8117005.0,17703
M4,E,0,1,C01,33509820.0,86220
M4,E,3,1,C02,23423100.0,27743
M1,E,0,0,C01,10607340.0,40714
M4,S,0,0,C02,10338755.0,16167
M3,S,0,0,C01,60054540.0,259725
M4,E,0,0,C01,12338368.0,30818
M4,S,0,0,C02,9833220.0,14882
M2,E,0,0,C01,81387300.0,322556
M4,S,0,0,C01,7775160.0,18460
M4,E,0,0,C01,1200480.0,8970
M3,S,0,0,C01,14792640.0,6508
M2,E,0,1,C01,4664880.0,8450
M4,S,18,1,C01,45008880.0,191798
M3,E,0,2,C02,101861940.0,243795
M3,S,0,0,C01,15025380.0,38829
M4,S,0,0,C02,4479360.0,9655
M7,E,3,1,C02,46312500.0,209804
M7,E,0,1,C01,51317268.0,74469
M3,S,0,0,C01,28444354.0,70531
M3,E,1,1,C01,54431700.0,107325
M4,S,0,2,C02,33938940.0,84437
M3,E,0,0,C01,5701200.0,10560
M7,E,0,0,C01,14763960.0,43031
M7,E,0,0,C01,4161361.0,11317
M4,S,0,2,C01,41979720.0,85752
M3,S,0,1,C01,73783740.0,155159
M3,S,1,1,C01,18216240.0,77408
M7,E,0,0,C01,14672377.0,35920
M4,I,0,0,C02,6900060.0,19666
M4,E,0,0,C01,5432259.0,14591
M3,S,2,0,C02,33110040.0,72748
M4,E,0,0,C02,5359080.0,9713
M2,S,0,0,C02,17473620.0,40170
M4,S,0,1,C01,33627060.0,108906
M7,E,0,0,C01,26540160.0,69638
M3,I,0,0,C01,10816495.0,10147
M7,E,1,0,C01,13996161.0,33023
M4,E,0,0,C01,1830120.0,5241
M7,S,0,0,C01,29277060.0,78366
M3,E,0,1,C01,15648428.0,34845
M4,S,0,1,C01,39477782.0,105113
M4,E,0,0,C01,10623420.0,24538
M3,E,0,0,C01,7456901.0,12977
M2,S,0,0,C01,13323780.0,10078
M4,S,2,0,C02,1475820.0,5936
M4,E,6,1,C01,26347529.0,83192
M2,S,0,0,C01,3364954.0,7437
M7,S,0,0,C01,45987000.0,124877
M4,S,0,0,C02,3020826.0,9411
M7,S,0,1,C02,15633318.0,52343
M5,S,0,1,C02,26433936.0,18816
M4,E,0,0,C01,3611313.0,5724
M3,E,0,0,C01,51737467.0,93782
M2,E,0,0,C01,5211300.0,28699
M4,E,0,0,C01,13995300.0,31193
M3,E,0,1,C01,30174061.0,85110
M3,E,0,1,C01,23730900.0,34849
M4,E,0,0,C01,5270100.0,7091
M7,S,0,1,C01,4237140.0,11644
M4,E,0,0,C01,3867060.0,8182
M3,E,0,1,C01,77406600.0,87778
M4,I,0,1,C01,14848743.0,42719
M3,S,0,0,C01,6028920.0,11037
M4,S,0,2,C01,76232639.0,56491
M3,H,0,0,C01,1718280.0,6397
M4,S,0,0,C01,3870060.0,5642
M7,E,2,2,C02,72064020.0,121918
M3,S,0,0,C01,4910700.0,7822
M3,E,0,1,C01,7244022.0,20123
M4,I,0,1,C01,9749011.0,15832
M4,S,0,2,C01,48368014.0,123623
M7,I,0,0,C01,21045133.0,28765
M1,E,0,0,C01,5342160.0,15008
M4,S,0,1,C02,9842280.0,13865
M3,S,0,0,C01,22444928.0,35247
M3,E,0,0,C01,9844410.0,17924
M7,S,0,1,C01,17765880.0,45537
M2,S,0,1,C01,17277540.0,11980
M4,E,0,2,C02,49664700.0,109971
M4,E,1,1,C01,53017711.0,118173
M4,E,0,0,C01,6230220.0,8192
M3,E,0,0,C01,3886788.0,8722
M4,S,0,0,C01,4507274.0,12888
M3,S,0,0,C01,2826420.0,5779
M3,E,0,0,C01,5701213.0,14843
M3,E,0,1,C01,34735960.0,88208
M4,S,0,1,C01,19856820.0,45651
M4,E,0,0,C01,7684740.0,25637
M7,S,0,1,C01,33263460.0,172885
M3,S,5,1,C01,36981000.0,64645
M3,S,0,1,C01,66847260.0,122241
M4,E,0,0,C01,7879581.0,21182
M4,S,0,1,C01,45270900.0,131413
M7,E,0,0,C01,5257563.0,15560
M7,S,0,0,C01,5627040.0,13407
M3,E,0,1,C01,20463240.0,51740
M7,E,0,1,C01,37307400.0,127994
M2,S,0,0,C02,32908500.0,72158
M7,E,0,0,C01,17637780.0,50487
M4,S,0,0,C01,28092360.0,55749
M4,E,0,0,C01,2150340.0,6310
M7,S,0,0,C01,2524149.0,6580
M2,I,0,1,C01,25238464.0,29996
M3,H,0,0,C01,36034380.0,48401
M3,E,0,0,C01,8443740.0,28235
M4,S,11,0,C01,18570047.0,48745
M4,S,0,0,C01,11639220.0,44156
M3,E,0,0,C01,4918316.0,9266
M3,S,0,0,C01,12971640.0,37542
M2,S,0,2,C01,77062500.0,186726
M3,S,0,1,C01,50641440.0,79940
M4,E,0,0,C01,22056000.0,39016
M4,E,6,0,C01,8007057.0,14051
M3,E,0,0,C01,13300009.0,23268
M3,S,0,0,C01,7365300.0,17903
M7,E,0,0,C01,23844000.0,76744
M3,S,0,0,C01,5702460.0,11622
M1,S,0,0,C01,2492760.0,9794
M7,I,0,1,C01,8307681.0,12480
M3,H,0,0,C01,7943552.0,15714
M2,E,0,0,C01,9528270.0,17686
M4,S,0,0,C01,13653000.0,15503
M4,S,0,1,C02,29634622.0,85723
M4,S,0,0,C01,7003342.0,24555
M4,E,0,0,C01,8705160.0,32474
M2,I,0,0,C01,20383140.0,15166
M4,S,0,1,C01,41562513.0,34615
M7,I,0,0,C01,35508240.0,77975
M4,E,0,0,C01,26893920.0,76114
M3,S,0,0,C01,23242980.0,23504
M4,S,0,0,C01,7107360.0,30288
M7,I,0,1,C01,24774300.0,57147
M2,S,0,0,C01,17690820.0,19767
M3,S,0,1,C01,11312758.0,19431
M4,S,0,1,C01,15746062.0,21458
M3,H,0,0,C01,17704860.0,40348
M2,E,0,1,C01,30408480.0,72905
M4,E,0,0,C01,10815356.0,25799
M1,S,0,1,C01,10607920.0,27023
M3,E,0,0,C01,9854220.0,26316
M4,E,0,0,C02,1811820.0,6579
M4,H,2,0,C01,6138660.0,9631
M7,E,0,0,C02,6215755.0,32454
M4,S,1,0,C01,12699780.0,51697
M2,S,0,1,C01,14232660.0,34477
M4,E,0,0,C01,7273920.0,29527
M4,S,0,0,C01,4377840.0,23539
M2,E,0,1,C01,97378198.0,266270
M3,H,0,0,C01,11301228.0,16132
M7,E,15,0,C02,19867980.0,45946
M2,E,0,1,C01,18740400.0,30037
M2,E,0,0,C01,29230132.0,69634
M3,S,0,0,C01,5856414.0,15335
M2,E,0,0,C02,8915147.0,40820
M7,S,0,0,C01,3187165.0,5942
M2,S,0,0,C02,20665344.0,32814
M2,S,0,0,C01,12804960.0,22370
M4,S,6,0,C01,13318074.0,27145
M4,E,8,0,C01,8458944.0,16542
M4,S,0,1,C01,11051940.0,17594
M7,S,0,0,C01,31194373.0,93364
M5,S,0,1,C02,8789362.0,15203
M7,E,0,0,C01,15530220.0,68920
M7,E,2,2,C01,25502890.0,51148
M4,E,0,1,C02,18849660.0,29560
M3,I,0,1,C01,30395820.0,83148
M5,S,0,0,C02,7594902.0,6221
M4,E,0,0,C02,11413620.0,55180
M4,S,0,1,C02,39323580.0,56930
M7,S,1,2,C01,18662160.0,43265
M2,E,0,1,C02,28431060.0,61271
M4,E,0,1,C01,66160003.0,109718
M4,S,0,0,C01,7320840.0,12453
M7,S,1,1,C01,10096132.0,31969
M4,S,0,0,C01,8548685.0,30496
M7,S,0,0,C02,17533440.0,20934
M7,E,0,0,C01,15830542.0,42707
M3,S,0,0,C02,8231744.0,30305
M2,E,0,1,C01,43522320.0,112945
M3,S,0,1,C01,25572000.0,58359
M4,E,0,0,C01,6640711.0,34745
M2,S,0,0,C01,4429140.0,10742
M7,E,0,1,C01,69224506.0,213301
M7,E,0,0,C01,2920080.0,6685
M3,S,0,1,C01,75852300.0,217215
M4,E,0,0,C02,19941780.0,30680
M4,E,0,0,C02,12963360.0,49686
M2,S,0,0,C01,36366120.0,19313
M7,E,0,1,C01,37430580.0,61825
M3,H,0,0,C01,36961680.0,29551
M3,I,0,2,C01,90544740.0,71156
M1,S,0,0,C01,4229937.0,9061
M7,S,1,1,C02,72395706.0,144902
M4,E,27,2,C02,57606660.0,179622
M3,S,2,1,C01,23337480.0,79030
M2,S,0,0,C01,57547989.0,33822
M3,I,0,2,C02,89507138.0,102868
M7,S,0,0,C02,10876260.0,24795
M2,S,0,1,C01,4088160.0,7884
M3,E,0,1,C01,12432840.0,18277
M4,S,1,0,C01,9866160.0,34500
M1,E,0,0,C01,3724920.0,11046
M2,E,4,1,C02,41122860.0,175106
M7,I,0,0,C01,12246000.0,21541
M4,E,4,0,C01,31980246.0,101789
M3,S,0,0,C01,24273300.0,60957
M4,E,0,1,C01,8294280.0,26520
M3,S,0,1,C01,40326840.0,82612
M1,S,0,1,C01,12116938.0,27530
M7,E,0,0,C01,2878156.0,7332
M3,S,0,0,C01,30505918.0,112249
M1,S,0,1,C01,5700720.0,6031
M4,S,0,0,C02,6642180.0,15769
M4,E,0,0,C01,12012780.0,44408
M4,I,0,0,C01,2869260.0,6667
M3,S,0,1,C01,54833400.0,134226
M4,E,0,0,C01,10274220.0,25223
M4,E,0,1,C01,25642620.0,50337
M2,S,3,0,C01,6043320.0,9894
M3,S,0,0,C01,7007210.0,13673
M7,S,0,0,C02,9262538.0,11584
M2,S,0,0,C01,8403000.0,8121
M4,E,0,2,C01,66965548.0,165887
M4,S,0,0,C01,3171161.0,5860
M4,S,0,1,C01,23829480.0,70009
M7,E,0,1,C01,26590980.0,77539
M4,E,0,1,C01,69684281.0,139842
M2,E,0,0,C01,15368432.0,48410
M7,E,1,1,C01,22363571.0,63082
M3,E,0,0,C01,10534613.0,21253
M7,S,0,1,C01,68873841.0,184031
M3,E,0,0,C01,3624660.0,11513
M4,S,0,0,C01,11924100.0,31707
M4,E,0,1,C01,13587600.0,44381
M4,S,0,0,C01,15464100.0,29717
M7,S,0,1,C01,33875580.0,132815
M2,S,0,0,C01,6552300.0,15840
M4,E,0,0,C01,1794840.0,5023
M2,H,0,1,C01,25996560.0,19932
M7,S,0,0,C01,27182460.0,34020
M3,E,0,1,C01,13904880.0,33928
M4,E,0,0,C01,19003626.0,38316
M4,E,5,1,C01,40007760.0,118319
M7,S,0,0,C01,1558598.0,7528
M3,E,0,0,C01,14427360.0,33405
M7,E,0,1,C01,18430560.0,50647
M4,H,0,0,C01,15626160.0,8617
M7,E,0,1,C01,11485080.0,24994
M4,S,0,0,C01,1563201.0,5652
M1,S,0,0,C01,2953800.0,9076
M4,S,0,1,C01,5767020.0,24048
M2,I,0,1,C01,12462300.0,22192
M2,E,0,0,C01,3122668.0,8393
M3,H,0,0,C01,13549560.0,20463
M7,S,0,1,C02,4213023.0,18787
M3,S,0,1,C01,23143385.0,34980
M7,S,0,0,C01,12527820.0,37600
M4,E,2,2,C01,42919080.0,54071
M2,S,0,2,C01,62474783.0,135493
M3,I,0,1,C01,62267940.0,128567
M7,H,0,0,C01,18303538.0,33038
M3,E,0,1,C01,8231100.0,13967
M3,S,0,0,C02,22376280.0,26376
M4,E,0,0,C01,1365584.0,5203
M4,E,0,0,C01,6632760.0,15391
M2,S,0,0,C01,9159506.0,15799
M4,S,5,2,C01,79749540.0,137452
M3,S,0,0,C01,19948920.0,37295
M3,E,0,1,C01,9052372.0,23946
M4,H,0,2,C01,12067047.0,26130
M3,S,0,1,C01,6548400.0,11681
M4,E,0,0,C01,2695440.0,10373
M7,E,0,0,C01,7610686.0,27485
M3,H,0,0,C01,15026040.0,35339
M2,S,0,0,C01,25314660.0,12798
M7,S,0,0,C01,46378521.0,113357
M4,E,0,1,C01,27817140.0,88081
M1,E,0,0,C01,3291557.0,8704
M3,H,0,1,C01,23030640.0,58694
M2,S,1,0,C01,14579280.0,31426
M7,S,0,0,C01,29908607.0,40638
M7,S,0,0,C02,3901980.0,7250
M7,E,0,1,C02,30841920.0,67120
M4,S,0,0,C01,4927560.0,10908
M4,E,0,1,C01,20821560.0,72101
M7,S,0,1,C02,60147933.0,161732
M2,I,0,0,C01,11896380.0,14851
M4,E,1,0,C01,16415460.0,38897
M4,I,0,2,C01,59446740.0,65700
M7,S,0,0,C01,14950159.0,22212
M4,E,0,1,C01,7257120.0,14905
M3,S,0,0,C01,4748054.0,12843
M5,S,0,2,C02,86475780.0,28915
M7,S,1,1,C01,40522927.0,92820
M7,S,1,2,C01,41458511.0,76840
M3,S,0,0,C02,5591820.0,8404
M2,S,0,1,C02,17547720.0,16768
M3,E,0,0,C02,7925340.0,6007
M3,I,0,0,C01,54079140.0,106150
M4,E,0,1,C01,11578800.0,15363
M4,H,0,0,C01,2852477.0,5028
M4,E,0,0,C02,11662980.0,24155
M4,S,0,0,C01,3008103.0,6802
M3,S,0,1,C01,11688579.0,21391
M3,E,0,0,C01,22991400.0,26429
M3,S,0,1,C01,36183154.0,58885
M4,S,1,0,C01,3889200.0,9073
M3,H,0,0,C01,9919757.0,10160
M2,E,0,1,C02,48634175.0,134812
M4,E,0,1,C01,45814260.0,119376
M3,S,0,0,C01,16935180.0,38211
M4,S,0,1,C01,10706880.0,21738
M3,S,0,0,C01,43860240.0,65678
M7,I,0,0,C01,15539679.0,5014
M7,E,2,1,C01,36287280.0,124077
M3,S,0,1,C01,45799200.0,168424
M4,S,0,0,C01,9407580.0,28172
M7,H,0,0,C01,8834580.0,12142
M2,S,0,0,C01,3131740.0,8891
M2,E,0,1,C01,11082923.0,24565
M4,E,0,0,C01,6767100.0,20455
M4,S,0,2,C01,52353780.0,83450
M3,E,0,0,C01,36015176.0,127059
M2,S,0,0,C01,24790260.0,78849
M7,E,0,0,C01,2911282.0,7219
M4,S,0,0,C02,4932960.0,12443
M4,E,0,0,C02,2957478.0,6120
M2,E,1,0,C01,15533886.0,66067
M3,E,0,1,C01,12007170.0,22493
M3,S,0,1,C01,14849040.0,36876
M3,E,0,1,C02,41286300.0,36894
M4,E,0,1,C01,13044000.0,56639
M4,I,0,1,C01,52251960.0,87874
M5,S,0,0,C02,50309040.0,62686
M4,E,0,0,C02,18491280.0,89201
M3,S,0,0,C01,41268879.0,76062
M3,S,0,1,C01,77751758.0,209266
M3,E,1,1,C01,28168791.0,90703
M4,S,6,0,C02,6992220.0,13061
M2,E,0,0,C01,7252010.0,12274
M4,S,4,0,C02,5533440.0,15506
M3,S,0,0,C01,29362800.0,85604
M4,S,1,2,C02,44386810.0,70573
M2,S,0,0,C01,13489818.0,10394
M3,H,0,0,C01,11048880.0,9970
M7,E,0,0,C01,5868611.0,8408
M4,S,0,0,C02,16312080.0,35529
M4,S,1,1,C02,14260320.0,34925
M3,E,0,1,C01,16054560.0,26531
M4,E,0,0,C01,12164940.0,30646
M2,S,0,1,C02,13754876.0,35562
M4,E,0,1,C02,18073860.0,37657
M3,S,2,1,C01,7933076.0,20928
M3,E,23,2,C01,42670020.0,109324
M3,I,0,1,C01,16062900.0,28088
M4,E,0,0,C01,6546720.0,18760
M5,S,0,1,C02,32142720.0,29949
M7,S,0,1,C01,41809142.0,78537
M7,I,0,1,C01,36202380.0,78203
M3,S,2,0,C01,1626314.0,5012
M3,E,0,0,C01,14599293.0,22246
M1,S,0,0,C01,10191186.0,16878
M7,E,0,1,C01,51932760.0,35772
M4,E,0,0,C01,11484297.0,24593
M3,E,0,0,C02,6024277.0,8799
M4,S,0,0,C01,1888321.0,7143
M4,E,0,1,C01,42886140.0,169739
M3,S,0,3,C01,69121667.0,263798
M1,S,0,1,C01,8724603.0,33479
M4,E,0,0,C01,23694420.0,44551
M4,I,0,0,C01,6293993.0,9098
M2,S,0,1,C02,5870280.0,13305
M4,E,0,1,C01,19766640.0,40148
M3,H,0,1,C01,30390960.0,43639
M3,S,0,0,C02,26701140.0,78066
M2,I,0,0,C01,14073474.0,9528
M4,S,0,0,C01,4901666.0,8500
M4,E,0,0,C01,20206980.0,56826
M4,H,0,0,C01,15297568.0,8887
M3,I,0,1,C01,47965320.0,62531
M3,E,0,0,C01,13214760.0,18426
M3,H,0,0,C01,3609120.0,13244
M4,E,0,0,C01,10825380.0,42107
M2,S,0,0,C01,26949960.0,21372
M4,I,0,0,C01,8974500.0,10612
M4,S,0,0,C02,9840876.0,15439
M7,S,0,1,C01,11742480.0,25928
M1,E,0,0,C01,13288080.0,17052
M4,E,0,0,C02,3734468.0,14806
M3,E,0,0,C01,15016992.0,33512
M3,E,0,0,C01,1727520.0,7376
M4,E,0,1,C02,26269260.0,43472
M3,I,0,0,C01,14140800.0,14020
M4,E,0,1,C01,3949140.0,9989
M2,E,0,1,C02,21745320.0,112750
M4,I,0,0,C01,8898231.0,11603
M7,S,0,0,C01,24795240.0,66648
M7,E,0,0,C02,39221914.0,132036
M1,E,0,0,C01,10017119.0,30877
M4,S,0,0,C01,11583840.0,35234
M4,S,1,0,C02,13575780.0,51418
M1,S,0,0,C02,3542100.0,7565
M4,E,0,0,C01,3606961.0,18292
M4,I,0,1,C01,5896980.0,24498
M3,E,0,0,C01,6032834.0,12789
M4,S,0,0,C01,14001060.0,34499
M3,S,0,2,C01,21176280.0,39317
M4,S,0,0,C01,9067560.0,27238
M3,I,0,1,C01,45157980.0,49728
M3,E,0,1,C01,7078620.0,18316
M3,E,3,0,C02,34362300.0,96372
M1,E,0,1,C01,13812660.0,26388
M3,I,0,0,C01,4733940.0,6802
M4,E,2,0,C01,2682960.0,11670
M4,S,0,0,C01,10188060.0,35455
M4,E,0,2,C02,49949160.0,63496
M4,E,0,0,C01,19266180.0,36661
M3,E,0,0,C01,4331280.0,16157
M7,S,0,0,C01,8996625.0,22934
M3,E,0,0,C01,8357940.0,14887
M7,S,0,0,C01,13735970.0,80238
M3,S,0,1,C01,18568380.0,38265
M1,E,0,1,C01,22960860.0,71562
M4,E,0,0,C01,12022737.0,37890
M7,E,1,0,C01,36962254.0,190933
M4,S,0,1,C01,47936280.0,118406
M7,E,2,1,C01,35671774.0,155113
M3,S,0,1,C02,47353260.0,113748
M4,E,0,1,C01,25931940.0,81548
M3,E,0,1,C01,22547956.0,74235
M2,S,0,0,C02,3086520.0,12022
M3,E,0,2,C01,31191586.0,62586
M4,I,0,0,C01,12428076.0,5894
M7,E,0,0,C01,2997060.0,5885
M7,E,2,0,C01,28322015.0,77650
M4,I,0,1,C01,38347260.0,81520
M7,E,1,0,C01,13387560.0,37584
M4,S,0,0,C01,11913335.0,34071
M2,E,0,1,C01,6925380.0,15836
M3,E,0,0,C01,2558384.0,5425
M3,E,0,0,C01,17640540.0,45020
M7,S,0,0,C01,4218661.0,6984
M7,E,3,1,C01,47868494.0,122282
M4,E,0,0,C01,5695320.0,5006
M4,S,0,2,C01,33960025.0,98454
M4,E,0,0,C01,21753120.0,79729
M4,E,0,1,C02,24109292.0,48734
M7,I,0,1,C01,6122460.0,11405
M3,H,0,0,C02,7578976.0,7671
M2,S,0,0,C01,13301460.0,22317
M7,E,0,0,C01,10618740.0,35775
M3,S,0,0,C01,10208431.0,6541
M3,H,0,0,C01,40260481.0,54501
M2,S,0,0,C01,6134700.0,9896
M4,E,0,1,C02,42331740.0,102668
M7,E,0,0,C02,28083631.0,53349
M4,I,0,1,C01,32295180.0,39026
M7,E,0,1,C01,38120410.0,83706
M4,S,9,0,C01,23064900.0,49247
M1,E,0,0,C01,7335420.0,23707
M2,E,4,1,C01,981429.0,5097
M3,E,0,0,C01,67897373.0,254378
M3,E,0,0,C01,4918020.0,8076
M3,E,0,1,C01,8638680.0,11098
M4,E,0,1,C01,4212619.0,5422
M4,E,0,0,C01,6821580.0,18235
M7,S,0,3,C01,98404577.0,217015
M4,E,0,1,C01,13926060.0,25068
M3,E,0,0,C01,19950540.0,63340
M3,E,0,0,C01,13556460.0,28946
M4,S,0,0,C01,2350620.0,9781
M4,E,0,1,C01,30382020.0,21910
M4,E,0,0,C01,2849880.0,14304
M7,E,1,0,C01,5178360.0,12197
M7,E,0,1,C01,11946171.0,29429
M2,S,0,0,C01,18773334.0,30161
M7,H,15,1,C01,45982320.0,118107
M4,E,0,1,C01,22730040.0,79164
M3,E,0,1,C01,76183320.0,180932
M4,E,0,0,C02,23660880.0,24490
M4,S,0,0,C01,32735557.0,62256
M4,I,0,1,C01,16065720.0,21401
M3,E,0,0,C01,2397594.0,6029
M4,E,0,0,C02,11406360.0,20071
M4,S,0,1,C01,21348780.0,58580
M3,I,0,1,C01,37398180.0,18279
M4,S,0,0,C01,3619707.0,15032
M7,E,0,0,C01,10358280.0,14161
M3,S,0,0,C01,23512883.0,62952
M4,E,8,2,C01,29898360.0,61929
M3,I,0,0,C01,20126640.0,15289
M7,E,0,0,C01,6577200.0,20981
M3,S,0,0,C01,6235440.0,8910
M3,E,0,0,C02,21916221.0,45578
M7,E,4,0,C01,32500323.0,77566
M1,S,0,0,C01,4412918.0,5754
M4,S,0,1,C01,8188200.0,20396
M3,S,0,1,C01,3085080.0,8065
M5,S,0,0,C02,9824100.0,7291
M4,S,0,1,C02,29739660.0,52263
M3,E,0,2,C02,56355000.0,100654
M7,E,1,0,C01,19251000.0,125957
M4,E,0,0,C02,2959440.0,5694
M2,S,0,1,C02,16938420.0,34495
M2,S,0,1,C01,21853260.0,44925
M3,E,5,1,C01,50627760.0,172553
M4,S,0,0,C01,6988680.0,16876
M3,S,0,2,C01,38356500.0,67612
M4,E,0,1,C01,41209477.0,96898
M4,S,0,0,C02,36197880.0,63773
M4,I,0,0,C01,29176020.0,97252
M2,S,0,0,C01,8968020.0,9644
M7,E,0,0,C01,5857020.0,18037
M7,S,0,0,C01,4231260.0,5496
M5,S,0,1,C02,42944100.0,6109
M7,S,1,0,C02,21019380.0,60511
M7,S,0,1,C01,36189789.0,51643
M3,S,0,0,C01,6037467.0,27925
M4,E,13,1,C01,41127353.0,103814
M4,S,1,1,C01,39230340.0,105115
M7,E,0,1,C01,41123040.0,73618
M3,E,0,0,C01,7523460.0,10957
M4,S,0,0,C01,16386180.0,46862
M4,S,0,2,C01,49261380.0,191744
M3,H,0,0,C01,33685532.0,78250
M4,E,0,1,C01,8127240.0,22160
M4,S,0,1,C01,5698080.0,15311
M7,E,2,1,C01,47587320.0,201928
M4,S,0,0,C01,3652140.0,11857
M4,S,3,1,C01,22798469.0,60848
M4,S,0,2,C01,59073720.0,170974
M4,I,0,1,C01,5521274.0,10680
M4,S,2,0,C01,11330940.0,19725
M2,I,0,1,C01,23819820.0,38566
M4,E,0,0,C01,35933460.0,80668
M4,S,0,1,C01,13240560.0,27954
M3,I,0,0,C01,4833480.0,11245
M7,S,0,1,C01,48400740.0,94101
